Time;rpcnode:9545
1;4.999929824561404
2;4.999929824561404
3;4.999929824561404
4;5.0000526315789475
5;5.0000526315789475
6;5.0000526315789475
7;5.0000526315789475
8;5.0000526315789475
9;5.0000526315789475
10;5
11;5
12;5
13;5
14;5
15;5
16;5
17;5
18;5
19;5
20;5
21;5
22;5
23;5
24;5
25;5
26;5
27;5
28;5
29;5
30;5
31;5
32;5
33;5
34;5
35;5
36;5
37;5
38;5
39;5
40;5
41;5
42;5
43;5
44;5
45;5
46;5
47;5
48;5
49;5.0000526315789475
50;5.0000526315789475
51;5.0000526315789475
52;5
53;5
54;5
55;5
56;5
57;5
58;5
59;5
60;5
61;4.9999473684210525
62;4.9999473684210525
63;4.9999473684210525
64;4.999894736842106
65;4.999894736842106
66;4.999894736842106
67;5
68;5
69;5
70;5
71;5
72;5
73;5
74;5
75;5
76;5
77;5
78;5
79;5.0000526315789475
80;5.0000526315789475
81;5.0000526315789475
82;5
83;5
84;5
85;5
86;5
87;5
88;5
89;5
90;5
91;5
92;5
93;5
94;5
95;5
96;5
97;5
98;5
99;5
100;5
101;5
102;5
103;5
104;5
105;5
106;4.9999473684210525
107;4.9999473684210525
108;4.9999473684210525
109;5
110;5
111;5
112;5.0000526315789475
113;5.0000526315789475
114;5.0000526315789475
115;5
116;5
117;5
118;5
119;5
120;5
121;5
122;5
123;5
124;5
125;5
126;5
127;5
128;5
129;5
130;5
131;5
132;5
133;5
134;5
135;5
136;4.9999473684210525
137;4.9999473684210525
138;4.9999473684210525
139;5
140;5
141;5
142;5.000035087719298
143;5.000035087719298
144;5.000035087719298
145;5
146;5
147;5
148;5
149;5
150;5
151;5
152;5
153;5
154;5
155;5
156;5
157;5
158;5
159;5
160;5
161;5
162;5
163;5
164;5
165;5
166;5.000035087719298
167;5.000035087719298
168;5.000035087719298
169;4.9999473684210525
170;4.9999473684210525
171;4.9999473684210525
172;5
173;5
174;5
175;5
176;5
177;5
178;5.000035087719298
179;5.000035087719298
180;5.000035087719298
181;5.000035087719298
182;5.000035087719298
183;5.000035087719298
184;5.0000526315789475
185;5.0000526315789475
186;5.0000526315789475
187;5
188;5
189;5
190;5.0000526315789475
191;5.0000526315789475
192;5.0000526315789475
193;5
194;5
195;5
196;5.000070175438597
197;5.000070175438597
198;5.000070175438597
199;4.999964912280701
200;4.999964912280701
201;4.999964912280701
202;5
203;5
204;5
205;5
206;5
207;5
208;5
209;5
210;5
211;5
212;5
213;5
214;5
215;5
216;5
217;5
218;5
219;5
220;5
221;5
222;5
223;4.999964912280701
224;4.999964912280701
225;4.999964912280701
226;5.000035087719298
227;5.000035087719298
228;5.000035087719298
229;5
230;5
231;5
232;5
233;5
234;5
235;4.999964912280701
236;4.999964912280701
237;4.999964912280701
238;4.999964912280701
239;4.999964912280701
240;4.999964912280701
241;4.9999473684210525
242;4.9999473684210525
243;4.9999473684210525
244;5
245;5
246;5
247;5
248;5
249;5
250;5
251;5
252;5
253;4.999929824561404
254;4.999929824561404
255;4.999929824561404
256;5.000035087719298
257;5.000035087719298
258;5.000035087719298
259;5.0000526315789475
260;5.0000526315789475
261;5.0000526315789475
262;5
263;5
264;5
265;5.000070175438597
266;5.000070175438597
267;5.000070175438597
268;5
269;5
270;5
271;5
272;5
273;5
274;5
275;5
276;5
277;5
278;5
279;5
280;5
281;5
282;5
283;4.999964912280701
284;4.999964912280701
285;4.999964912280701
286;5
287;5
288;5
289;5
290;5
291;5
292;5
293;5
294;5
295;5
296;5
297;5
298;5
299;5
300;5
301;5
302;5
303;5
304;4.9999473684210525
305;4.9999473684210525
306;4.9999473684210525
307;5
308;5
309;5
310;5.0000526315789475
311;5.0000526315789475
312;5.0000526315789475
313;5.000017543859649
314;5.000017543859649
315;5.000017543859649
316;4.9999473684210525
317;4.9999473684210525
318;4.9999473684210525
319;5
320;5
321;5
322;4.999929824561404
323;4.999929824561404
324;4.999929824561404
325;5
326;5
327;5
328;5
329;5
330;5
331;5.000035087719298
332;5.000035087719298
333;5.000035087719298
334;5.0000526315789475
335;5.0000526315789475
336;5.0000526315789475
337;5
338;5
339;5
340;5
341;5
342;5
343;5.0000526315789475
344;5.0000526315789475
345;5.0000526315789475
346;5
347;5
348;5
349;5.0000526315789475
350;5.0000526315789475
351;5.0000526315789475
352;5
353;5
354;5
355;5.0000526315789475
356;5.0000526315789475
357;5.0000526315789475
358;5
359;5
360;5
361;5
